a-link-normal href 2,s-image src,a-size-base-plus,a-price
https://www.amazon.es/Acer-Chromebook-311-Ordenador-Port%C3%A1til/dp/B095CTNX87/ref=sr_1_1?qid=1640825944&s=computers&sr=1-1,https://m.media-amazon.com/images/I/81qBZznKv0S._AC_UL320_.jpg,"Acer Chromebook 311 - Ordenador Portátil 11"" HD (MTK MT8183, 4GB RAM, 32GB eMMc, UMA Graphics, Chrome OS), Color Plata - Teclado Qwerty Español","259,00€"
https://www.amazon.es/Apple-MacBook-Air-Chip-13-Pulgadas/dp/B08N5TLVQ2/ref=sr_1_2?qid=1640825944&s=computers&sr=1-2,https://m.media-amazon.com/images/I/71TPda7cwUL._AC_UL320_.jpg,"Apple Ordenador PortáTil MacBook Air (2020): Chip M1 de Apple, Pantalla Retina de 13 Pulgadas, 8 GB de RAM, SSD de 256 GB, Teclado retroiluminado, cáMara FaceTime HD, Sensor Touch ID, Color Plata","1.129,00€"
https://www.amazon.es/Huawei-Matebook-D15-Ordenador-Ultrafino/dp/B098QRY4XY/ref=sr_1_3?qid=1640825944&s=computers&sr=1-3,https://m.media-amazon.com/images/I/51KGX6XFYbL._AC_UL320_.jpg,"Huawei Matebook D15 - Ordenador Portátil Ultrafino de 15.6"" FullHD (Intel Core i3-10110U, 8GB de RAM, 256GB SSD, Grafica Intel UHD 620, Windows 10 Home) Plata - Teclado QWERTY Español","649,00€"
https://www.amazon.es/HP-15s-fq2038ns-Ordenador-port%C3%A1til-i5-1135G7/dp/B08T2666FF/ref=sr_1_4?qid=1640825944&s=computers&sr=1-4,https://m.media-amazon.com/images/I/61-cvFgfnRL._AC_UL320_.jpg,"HP 15s-fq2038ns - Ordenador Portátil de 15.6” FHD (Intel Core i5-1135G7, 8GB RAM, 512GB SSD, Gráficos Intel Iris Xe, Windows 10 Home) Plata – Teclado QWERTY Español","630,85 €"
https://www.amazon.es/HP-240-G8-Ordenador-port%C3%A1til/dp/B08XKYRXM4/ref=sr_1_5?qid=1640825944&s=computers&sr=1-5,https://m.media-amazon.com/images/I/71fGiSs5vzL._AC_UL320_.jpg,"HP 240 G8 - Ordenador portátil de 14” HD (Intel Celeron N4020, 8GB RAM, 128GB SSD, Windows 10 Home) Negro - Teclado QWERTY Español","399,99€"
https://www.amazon.es/Acer-Aspire-Port%C3%A1til-Graphics-Windows/dp/B08F5JNB6V/ref=sr_1_6?qid=1640825944&s=computers&sr=1-6,https://m.media-amazon.com/images/I/718DCllR6AL._AC_UL320_.jpg,"Acer Aspire 3 A315-23 - Ordenador Portátil 15.6” Full HD, Laptop (AMD Ryzen 5 3500U, 8GB RAM, 512GB SSD, UMA Graphics, Windows 10 Home), PC Portátil Color Plata - Teclado QWERTY Español",
https://www.amazon.es/HONOR-MagicBook-PRO-Port%C3%A1til-graphics/dp/B09JCGPVHC/ref=sr_1_7?qid=1640825944&s=computers&sr=1-7,https://m.media-amazon.com/images/I/61FhLzTdXlL._AC_UL320_.jpg,"HONOR MagicBook PRO - Portátil de 16.1"" FullHD (Ryzen 5-4600H, 16GB RAM, 512GB SSD, AMD graphics, Windows 10) Silver - Teclado QWERTY español","799,00€"
https://www.amazon.es/LG-Gram-14Z90P-ultraligero-i7-1165G7/dp/B09HCGL6HV/ref=sr_1_8?qid=1640825944&s=computers&sr=1-8,https://m.media-amazon.com/images/I/71NOqOFExfS._AC_UL320_.jpg,"LG Gram 14Z90P - Portátil ultraligero de 14"" WUXGA (Intel Core i7-1165G7, 16GB RAM, 1TB SSD, Iris Xe, Windows 11 Home) Negro - Teclado QWERTY español","1.599,00€"
https://www.amazon.es/Lenovo-IdeaPad-Ordenador-Port%C3%A1til-Graphics/dp/B08TN61GJC/ref=sr_1_9?qid=1640825944&s=computers&sr=1-9,https://m.media-amazon.com/images/I/51gUlct5-FL._AC_UL320_.jpg,"Lenovo IdeaPad 3 - Ordenador Portátil 15.6"" FullHD (Ryzen 5 3500U, 8GB RAM, 512GB SSD, AMD Radeon Vega 8 Graphics, Windows 10) Gris - Teclado QWERTY Español",
https://www.amazon.es/s?rh=n%3A938008031&fs=true&ref=lp_938008031_sar#,https://m.media-amazon.com/images/I/715XOFfFmRL._AC_UL320_.jpg,"Dell XPS 13-9305 - Ordenador portátil 13.3"" FullHD (Intel Core i5-1135G7, 8GB RAM, 512GB SSD, Windows 10 Home), Color Gris - Teclado QWERTY Español",
https://www.amazon.es/s?rh=n%3A938008031&fs=true&ref=lp_938008031_sar#,https://m.media-amazon.com/images/I/71JxnNnO-QL._AC_UL320_.jpg,"Dell Portátil Inspiron 14 5410 de 14 Pulgadas, procesador Intel Core i5-11300H, Pantalla FHD de Borde Estrecho antirreflectante con retroiluminación LED, RAM de 8 GB, SSD NVMe de 512 GB y Win10 Home","779,00€"
https://www.amazon.es/s?rh=n%3A938008031&fs=true&ref=lp_938008031_sar#,https://m.media-amazon.com/images/I/719vIKTyr6L._AC_UL320_.jpg,"Portátil Dell Inspiron 15 3501 de 15,6 pulgadas, procesador Intel Core i5-1135G7 (4,2 GHz), pantalla FHD de borde estrecho antirreflectante, RAM de 8 GB, SSD","679,00€"
https://www.amazon.es/Acer-Chromebook-Spin-311-CP311-3H/dp/B085PCN161/ref=sr_1_13?qid=1640825944&s=computers&sr=1-13,https://m.media-amazon.com/images/I/615Inbm51tL._AC_UL320_.jpg,"Acer Chromebook Spin 311 CP311-3H - Ordenador Portátil 2 en 1 Convertible y Táctil 11.6"" HD IPS (MTK MT8183, 4GB RAM, 32GB eMMc, Mali-G72 MP3 Graphics, Chrome OS), PC Portátil Plata - QWERTY","349,99€"
https://www.amazon.es/CHUWI-HeroBook-Ordenador-Ultrabook-N4000/dp/B09J25CV9Z/ref=sr_1_14?qid=1640825944&s=computers&sr=1-14,https://m.media-amazon.com/images/I/4165tlfO8qS._AC_UL320_.jpg,"CHUWI HeroBook Pro Ordenador Portátil Ultrabook Laptop 14.1' Intel Celeron N4000 hasta 2.6 GHz, 4K 1920*1080, Windows 10, 8G RAM 256G SSD, WiFi, USB 3.0, 38Wh",
https://www.amazon.es/Lenovo-V14-IGL-Ordenador-Port%C3%A1til/dp/B098V4QNJT/ref=sr_1_15?qid=1640825944&s=computers&sr=1-15,https://m.media-amazon.com/images/I/51eD09BkJ2S._AC_UL320_.jpg,"Lenovo V14 IGL - Ordenador Portátil 14"" FullHD (Celeron N4020, 4GB RAM, 128GB SSD, Intel UHD Graphics Win10 Pro for EDU), Gris - Teclado QWERTY español","276,25 €"
https://www.amazon.es/Lenovo-IdeaPad-Ordenador-Port%C3%A1til-Graphics/dp/B099KBZY98/ref=sr_1_16?qid=1640825944&s=computers&sr=1-16,https://m.media-amazon.com/images/I/71IUPwWqKoS._AC_UL320_.jpg,"Lenovo IdeaPad 5 - Ordenador Portátil 14"" FullHD (Ryzen 7 5700U, 16GB de RAM, 512GB SSD, AMD Radeon Graphics, Windows 10) Gris - Teclado QWERTY Español","755,48 €"
https://www.amazon.es/Lenovo-IdeaPad-Gaming-Ordenador-GTX1650-4GB/dp/B08TPG66ZC/ref=sr_1_17?qid=1640825944&s=computers&sr=1-17,https://m.media-amazon.com/images/I/71w4bbe5zML._AC_UL320_.jpg,"Lenovo IdeaPad Gaming 3 - Ordenador Portátil Gaming 15.6"" FullHD (Intel Core i7-10750H, 16GB RAM, 512GB SSD, NVIDIA GTX1650-4GB, Sin Sistema Operativo), Negro- Teclado QWERTY Español",
https://www.amazon.es/Acer-Aspire-Port%C3%A1til-i3-1005G1-Graphics/dp/B08F5HPRJ1/ref=sr_1_18?qid=1640825944&s=computers&sr=1-18,https://m.media-amazon.com/images/I/71CRqTN5NtL._AC_UL320_.jpg,"Acer Aspire 3 A315-56 - Ordenador Portátil 15.6” Full HD (Intel Core i3-1005G1, 8GB RAM, 512GB SSD, UMA Graphics, Windows 10 Home), PC Portátil Color Negro - Teclado QWERTY Español","469,99€"
https://www.amazon.es/TECLAST-Ordenador-Port%C3%A1til-Pulgadas-Expandible/dp/B097RGB13J/ref=sr_1_19?qid=1640825944&s=computers&sr=1-19,https://m.media-amazon.com/images/I/81J9b665VZS._AC_UL320_.jpg,"TECLAST Ordenador Portátil 8GB+256GB SSD,Portátil 15,6 Pulgadas, Laptop Windows 10 Intel Celeron N4120,Quad Core 2,6 GHz,1920 × 1080,Notebook de PC(USB 3.0,Mini HDMI,38000mWh,QWERTY y TF Expandible)",
https://www.amazon.es/Acer-Aspire-Port%C3%A1til-i5-1135G7-Graphics/dp/B08QSCVWS6/ref=sr_1_20?qid=1640825944&s=computers&sr=1-20,https://m.media-amazon.com/images/I/71BeuwxGTLL._AC_UL320_.jpg,"Acer Aspire 5 A515-56-572C - Ordenador Portátil 15.6"" Full HD, Laptop (Intel Core i5-1135G7, 8GB RAM, 512GB SSD, UMA Graphics, Windows 10 Home), PC Portátil Color Plata - Teclado QWERTY Español","557,07 €"
https://www.amazon.es/Apple-MacBook-Pro-Chip-13-Pulgadas/dp/B08N5WRTN2/ref=sr_1_21?qid=1640825944&s=computers&sr=1-21,https://m.media-amazon.com/images/I/71an9eiBxpL._AC_UL320_.jpg,"2020 Apple MacBook Pro con Chip M1 de Apple (de 13 Pulgadas, 8 GB RAM, 256 GB SSD) - Gris Espacial","1.449,00€"
https://www.amazon.es/s?rh=n%3A938008031&fs=true&ref=lp_938008031_sar#,https://m.media-amazon.com/images/I/81GbedzHTwS._AC_UL320_.jpg,"LincPlus P1 Ordenador Portátil de 13,3 Pulgadas, PC con Windows 10 S Intel Celeron N4000, 4GB RAM 64GB eMMC Storage hasta 500GB por SSD Aluminium Portatiles",
https://www.amazon.es/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_computers_sr_pg1_1?ie=UTF8&adId=A01882793UGGRJD8MF44H&url=%2FAcer-Chromebook-311-Ordenador-Port%25C3%25A1til%2Fdp%2FB095CTNX87%2Fref%3Dsr_1_23_sspa%3Fqid%3D1640825944%26s%3Dcomputers%26sr%3D1-23-spons%26psc%3D1&qualifier=1640825944&id=8851071989940103&widgetName=sp_mtf_browse,https://m.media-amazon.com/images/I/81qBZznKv0S._AC_UL320_.jpg,"Acer Chromebook 311 - Ordenador Portátil 11"" HD (MTK MT8183, 4GB RAM, 32GB eMMc, UMA Graphics, Chrome OS), Color Plata - Teclado Qwerty Español","259,00€"
https://www.amazon.es/s?rh=n%3A938008031&fs=true&ref=lp_938008031_sar#,https://m.media-amazon.com/images/I/71NOqOFExfS._AC_UL320_.jpg,"LG - 14Z90P - Portátil ultraligero 14"" WUXGA (Intel EvoTM i7 11ª Generación, 16GB RAM, 1TB SSD, Iris Xe Graphics, Windows 10 Home) - Teclado QWERTY Español, Negro","1.599,00€"
https://www.amazon.es/Lenovo-IdeaPad-14M836-Chromebook-Gen/dp/B09HR5W3M6/ref=sr_1_25?qid=1640825944&s=computers&sr=1-25,https://m.media-amazon.com/images/I/81iHSRlFUEL._AC_UL320_.jpg,"Lenovo IdeaPad 3 CB 14M836 Chromebook Gen 6 - Portátil 14"" FullHD (MediaTek MT8183, 4GB RAM, 32GB eMMC, Arm Mali-G72 MP3 GPU, Chrome OS) Color Gris - Teclado QWERTY Español",
https://www.amazon.es/CHUWI-Ordenador-Port%C3%A1til-GemiBook-Pro/dp/B0948VRMQ1/ref=sr_1_26?qid=1640825944&s=computers&sr=1-26,https://m.media-amazon.com/images/I/71ssnqkoyTS._AC_UL320_.jpg,"CHUWI Ordenador Portátil,GemiBook Pro 14 Pulgadas 3: 2 IPS Laptop 2160*1440 Windows 10 Notebook,Celeron J4125 8GB RAM +256GB SSD,WiFi 6,Type-C,USB 3.0,Admite Doble Expansión SSD hasta 1T(8GB)",
https://www.amazon.es/ASUS-ZenBook-UX325EA-KG407T-Ordenador-i5-1135G7/dp/B097T4BNPN/ref=sr_1_27?qid=1640825944&s=computers&sr=1-27,https://m.media-amazon.com/images/I/716YKaE2PtS._AC_UL320_.jpg,"ASUS ZenBook 13 UX325EA-KG407T - Ordenador Portátil 13"" OLED FullHD (Intel Core i5-1135G7, 16GB RAM, 512GB SSD, Iris Xe Graphics, Windows 10 Home) Gris Pino - Teclado QWERTY español","999,00€"
https://www.amazon.es/Lenovo-ThinkPad-E15-Ordenador-i5-10210U/dp/B08FCPHVTN/ref=sr_1_28?qid=1640825944&s=computers&sr=1-28,https://m.media-amazon.com/images/I/71HHBTLNdHL._AC_UL320_.jpg,"Lenovo ThinkPad E15 - Ordenador portátil 15.6"" FullHD (Intel Core i5-10210U, 8GB RAM, 256GB SSD, Intel UHD Graphics, Windows 10 Pro), Color negro - Teclado QWERTY español","799,99€"
